id_ligne	kpi_name	edw_group_table	kpi_label	comment	kpi_formula	pourcentage	on_off	value_type	new_field	visible	numerator_denominator	kpi_type
kpis.0071.01.01016	NB_RAB_RELEASE	edw_eriran_cellb_axe1	NB RAB RELEASE	Number of RAB releases  	pmNoNormalRabReleaseSpeech+pmNoNormalRabReleaseCS64+pmNoSystemRabReleaseSpeech+pmNoSystemRabReleaseCS64+pmNoNormalRabReleasePacket+pmNoNormalRabReleasePacketStream+pmNoNormalRabReleasePacketStream128+pmNoSystemRabReleasePacket+pmNoSystemRabReleasePacketStream+pmNoSystemRabReleasePacketStream128	0	1	customisateur	1	1	total	float4
kpis.0071.01.01017	NB_RAB_RELEASE_CS	edw_eriran_cellb_axe1	NB RAB RELEASE CS	Number of RAB releases for CS domain 	pmNoNormalRabReleaseSpeech+pmNoNormalRabReleaseCS64+pmNoSystemRabReleaseSpeech+pmNoSystemRabReleaseCS64	0	1	customisateur	1	1	total	float4
kpis.0071.01.01018	NB_RAB_RELEASE_PS	edw_eriran_cellb_axe1	NB RAB RELEASE PS	Number of RAB releases for PS domain 	pmNoNormalRabReleasePacket+pmNoNormalRabReleasePacketStream+pmNoNormalRabReleasePacketStream128+pmNoSystemRabReleasePacket+pmNoSystemRabReleasePacketStream+pmNoSystemRabReleasePacketStream128	0	1	customisateur	1	1	total	float4
kpis.0071.01.01019	NB_RAB_RELEASE_EUL	edw_eriran_cellb_axe1	NB RAB RELEASE EUL (HSUPA)	Number of E-DCH RAB releases  	pmNoNormalRbReleaseEul+pmNoSystemRbReleaseEul	0	1	customisateur	1	1	total	float4
kpis.0071.01.01020	NB_RAB_RELEASE_HS	edw_eriran_cellb_axe1	NB RAB RELEASE HSDPA	Number of HSDPA RAB releases 	pmNoNormalRbReleaseHs+pmNoSystemRbReleaseHs	0	1	customisateur	1	1	total	float4
kpis.0071.01.01021	NB_RAB_RELEASE_SPEECH	edw_eriran_cellb_axe1	NB RAB RELEASE SPEECH	Number of speech RAB releases 	pmNoNormalRabReleaseSpeech+pmNoSystemRabReleaseSpeech	0	1	customisateur	1	1	total	float4
kpis.0071.01.01022	NB_RAB_RELEASE_RT_CS_DATA	edw_eriran_cellb_axe1	NB RAB RELEASE Real Time CS DATA	Number of  Real Time CS DATA RAB releases 	pmNoNormalRabReleaseCS64+pmNoSystemRabReleaseCS64	0	1	customisateur	1	1	total	float4
kpis.0071.01.01023	NB_RAB_RELEASE_NRT_PS_DATA	edw_eriran_cellb_axe1	NB RAB RELEASE Non Real Time PS DATA	Number of Non Real Time PS DATA RAB releases 	(pmNoNormalRabReleasePacket+pmNoSystemRabReleasePacket)-(pmNoNormalRbReleaseHs+pmNoSystemRbReleaseHs)-(pmNoNormalRabReleasePacketUra+pmNoSystemRabReleasePacketUra)	0	1	customisateur	1	1	total	float4
kpis.0071.01.01024	NB_RAB_RELEASE_RT_PS_DATA	edw_eriran_cellb_axe1	NB RAB RELEASE Real Time PS DATA	Number of Real Time PS DATA RAB releases 	pmNoSystemRabReleasePacketStream+pmNoSystemRabReleasePacketStream128+pmNoNormalRabReleasePacketStream+pmNoNormalRabReleasePacketStream128	0	1	customisateur	1	1	total	float4
kpis.0071.01.01025	NB_SYSTEM_RELEASE_CS	edw_eriran_cellb_axe1	NB SYSTEM RELEASE CS	Number of system RAB releases for CS domain 	pmNoSystemRabReleaseSpeech+pmNoSystemRabReleaseCS64	0	1	customisateur	1	1	total	float4
kpis.0071.01.01026	NB_SYSTEM_RELEASE_SPEECH	edw_eriran_cellb_axe1	NB SYSTEM RELEASE SPEECH	Number of system RAB releases for speech calls 	pmNoSystemRabReleaseSpeech	0	1	customisateur	1	1	total	float4
kpis.0071.01.01027	NB_SYSTEM_RELEASE_PS	edw_eriran_cellb_axe1	NB SYSTEM RELEASE PS	Number of system RAB releases for PS domain 	pmNoSystemRabReleasePacket+pmNoSystemRabReleasePacketStream+pmNoSystemRabReleasePacketStream128	0	1	customisateur	1	1	total	float4
kpis.0071.01.01029	NB_HS_SYSTEM_RAB_RELEASE	edw_eriran_cellb_axe1	NB HSDPA SYSTEM RAB RELEASE	Number of HSDPA RAB system releases 	pmNoSystemRbReleaseHs	0	1	customisateur	1	1	total	float4
kpis.0071.01.01031	NB_PS_NRT_PS_DATA_SYSTEM_RAB_RELEASE	edw_eriran_cellb_axe1	NB Non Real Time PS DATA SYSTEM RAB RELEASE	Number of Non Real Time PS DATA RAB system releases 	pmNoSystemRabReleasePacket-pmNoSystemRbReleaseHs-pmNoSystemRabReleasePacketUra	0	1	customisateur	1	1	total	float4
kpis.0071.01.01033	NB_RT_PS_DATA_SYSTEM_RAB_RELEASE	edw_eriran_cellb_axe1	NB Real Time PS DATA SYSTEM RAB RELEASE	Number of Real Time PS DATA RAB system releases 	pmNoSystemRabReleasePacketStream+pmNoSystemRabReleasePacketStream128	0	1	customisateur	1	1	total	float4
kpis.0071.01.01036	NB_RT_CS_DATA_SYSTEM_RAB_RELEASE	edw_eriran_cellb_axe1	NB Real Time CS DATA SYSTEM RAB RELEASE	Number of Real Time CS DATA RAB system releases 	pmNoSystemRabReleaseCS64	0	1	customisateur	1	1	total	float4
kpis.0071.01.01037	CCSR_HS	edw_eriran_cellb_axe1	CCSR HSDPA	Call Completion Success Rate for HSDPA 	CASE WHEN (pmTotNoRrcConnectReqPsSucc/pmTotNoRrcConnectReqPs)*(pmNoRabEstablishSuccessPacketInteractiveHs/pmNoRabEstablishAttemptPacketInteractiveHs)*(pmNoNormalRbReleaseHs/(pmNoNormalRbReleaseHs+pmNoSystemRbReleaseHs))*100>100 THEN 100 ELSE (pmTotNoRrcConnectReqPsSucc/pmTotNoRrcConnectReqPs)*(pmNoRabEstablishSuccessPacketInteractiveHs/pmNoRabEstablishAttemptPacketInteractiveHs)*(pmNoNormalRbReleaseHs/(pmNoNormalRbReleaseHs+pmNoSystemRbReleaseHs))*100 END	1	1	customisateur	1	1	total	float4
