id_profile	id_menu	position	id_menu_parent
prfl.0071.01	menu.01.0001	1	0
prfl.0071.02	menu.01.0001	1	0
prfl.0071.01	menu.01.0001.01	1	menu.01.0001
prfl.0071.02	menu.01.0001.01	1	menu.01.0001
prfl.0071.01	menu.01.0001.02	2	menu.01.0001
prfl.0071.02	menu.01.0001.02	2	menu.01.0001
prfl.0071.01	menu.01.0001.03	3	menu.01.0001
prfl.0071.02	menu.01.0001.03	3	menu.01.0001
prfl.0071.01	menu.01.0001.04	4	menu.01.0001
prfl.0071.01	menu.01.0002	2	0
prfl.0071.02	menu.01.0002	2	0
prfl.0071.01	menu.01.0002.01	1	menu.01.0002
prfl.0071.02	menu.01.0002.01	1	menu.01.0002
prfl.0071.01	menu.01.0002.08	2	menu.01.0002
prfl.0071.02	menu.01.0002.08	2	menu.01.0002
prfl.0071.01	menu.01.0002.11	3	menu.01.0002
prfl.0071.01	menu.01.0002.02	4	menu.01.0002
prfl.0071.01	menu.01.0002.09	5	menu.01.0002
prfl.0071.01	menu.01.0002.03	6	menu.01.0002
prfl.0071.02	menu.01.0002.03	6	menu.01.0002
prfl.0071.01	menu.01.0002.04	7	menu.01.0002
prfl.0071.02	menu.01.0002.04	7	menu.01.0002
prfl.0071.01	menu.01.0002.06	8	menu.01.0002
prfl.0071.02	menu.01.0002.06	8	menu.01.0002
prfl.0071.01	menu.01.0002.07	9	menu.01.0002
prfl.0071.02	menu.01.0002.07	9	menu.01.0002
prfl.0071.01	menu.01.0002.10	10	menu.01.0002
prfl.0071.01	menu.01.0003	3	0
prfl.0071.02	menu.01.0003	3	0
prfl.0071.01	menu.01.0003.01	1	menu.01.0003
prfl.0071.02	menu.01.0003.01	1	menu.01.0003
prfl.0071.01	menu.01.0003.02	2	menu.01.0003
prfl.0071.02	menu.01.0003.02	2	menu.01.0003
prfl.0071.01	menu.01.0003.03	3	menu.01.0003
prfl.0071.02	menu.01.0003.03	3	menu.01.0003
prfl.0071.01	menu.01.0004	4	0
prfl.0071.02	menu.01.0004	4	0
prfl.0071.01	menu.01.0004.01	1	menu.01.0004
prfl.0071.02	menu.01.0004.01	1	menu.01.0004
prfl.0071.01	menu.01.0004.02	2	menu.01.0004
prfl.0071.02	menu.01.0004.02	2	menu.01.0004
prfl.0071.01	menu.01.0004.03	3	menu.01.0004
prfl.0071.02	menu.01.0004.03	3	menu.01.0004
prfl.0071.01	menu.01.0005	5	0
prfl.0071.02	menu.01.0005	5	0
prfl.0071.01	menu.01.0005.01	1	menu.01.0005
prfl.0071.02	menu.01.0005.01	1	menu.01.0005
prfl.0071.01	menu.01.0006	6	0
prfl.0071.02	menu.01.0006	6	0
prfl.0071.01	menu.01.0006.01	1	menu.01.0006
prfl.0071.02	menu.01.0006.01	1	menu.01.0006
prfl.0071.01	menu.01.0006.02	2	menu.01.0006
prfl.0071.02	menu.01.0006.02	2	menu.01.0006
prfl.0071.01	menu.01.0006.03	3	menu.01.0006
prfl.0071.02	menu.01.0006.03	3	menu.01.0006
prfl.0071.01	menu.01.0006.04	4	menu.01.0006
prfl.0071.02	menu.01.0006.04	4	menu.01.0006
prfl.0071.01	menu.01.0007	7	0
prfl.0071.02	menu.01.0007	7	0
prfl.0071.01	menu.01.0007.01	1	menu.01.0007
prfl.0071.02	menu.01.0007.01	1	menu.01.0007
prfl.0071.01	menu.01.0008	8	0
prfl.0071.02	menu.01.0008	8	0
prfl.0071.01	menu.01.0008.01	1	menu.01.0008
prfl.0071.02	menu.01.0008.01	1	menu.01.0008
prfl.0071.01	menu.01.0008.02	2	menu.01.0008
prfl.0071.02	menu.01.0008.02	2	menu.01.0008
prfl.0071.01	menu.01.0008.03	3	menu.01.0008
prfl.0071.02	menu.01.0008.03	3	menu.01.0008
prfl.0071.01	menu.01.0008.04	4	menu.01.0008
prfl.0071.02	menu.01.0008.04	4	menu.01.0008
prfl.0071.01	menu.01.0008.05	5	menu.01.0008
prfl.0071.02	menu.01.0008.05	5	menu.01.0008
prfl.0071.01	menu.01.0009	9	0
prfl.0071.02	menu.01.0009	9	0
prfl.0071.01	menu.01.0009.01	1	menu.01.0009
prfl.0071.02	menu.01.0009.01	1	menu.01.0009
prfl.0071.01	menu.01.0009.02	2	menu.01.0009
prfl.0071.02	menu.01.0009.02	2	menu.01.0009
prfl.0071.01	menu.01.0009.03	3	menu.01.0009
prfl.0071.02	menu.01.0009.03	3	menu.01.0009
prfl.0071.01	menu.01.0009.04	4	menu.01.0009
prfl.0071.02	menu.01.0009.04	4	menu.01.0009
prfl.0071.01	menu.01.0010	10	0
prfl.0071.02	menu.01.0010	10	0
prfl.0071.03	menu.01.0010	10	0
prfl.0071.01	menu.01.0010.01	1	menu.01.0010
prfl.0071.02	menu.01.0010.01	1	menu.01.0010
prfl.0071.03	menu.01.0010.01	1	menu.01.0010
prfl.0071.01	menu.01.0010.02	2	menu.01.0010
prfl.0071.02	menu.01.0010.02	2	menu.01.0010
prfl.0071.03	menu.01.0010.02	2	menu.01.0010
prfl.0071.01	menu.01.0010.04	3	menu.01.0010
prfl.0071.02	menu.01.0010.04	3	menu.01.0010
prfl.0071.03	menu.01.0010.04	3	menu.01.0010
prfl.0071.01	menu.01.0010.03	4	menu.01.0010
prfl.0071.02	menu.01.0010.03	4	menu.01.0010
prfl.0071.03	menu.01.0010.03	4	menu.01.0010
prfl.0071.03	menu.02.0001	5	0
prfl.0071.03	menu.02.0002	6	0
prfl.0071.03	menu.02.0002.01	1	menu.02.0002
prfl.0071.03	menu.02.0002.02	2	menu.02.0002
prfl.0071.03	menu.02.0002.03	3	menu.02.0002
prfl.0071.03	menu.02.0003	7	0
prfl.0071.03	menu.02.0003.05	1	menu.02.0003
prfl.0071.03	menu.02.0003.01	2	menu.02.0003
prfl.0071.03	menu.02.0003.02	3	menu.02.0003
prfl.0071.03	menu.02.0003.03	4	menu.02.0003
prfl.0071.03	menu.02.0003.04	5	menu.02.0003
prfl.0071.03	menu.dshd.0071.01.001	1	menu.0071.01
prfl.0071.03	menu.dshd.0071.01.001.01	1	menu.dshd.0071.01.001
prfl.0071.03	menu.dshd.0071.01.001.02	2	menu.dshd.0071.01.001
prfl.0071.03	menu.dshd.0071.01.002	2	menu.0071.01
prfl.0071.03	menu.dshd.0071.01.002.01	1	menu.dshd.0071.01.002
prfl.0071.03	menu.dshd.0071.01.002.02	2	menu.dshd.0071.01.002
prfl.0071.03	menu.dshd.0071.01.003	3	menu.0071.01
prfl.0071.03	menu.dshd.0071.01.003.01	1	menu.dshd.0071.01.003
prfl.0071.03	menu.dshd.0071.01.003.02	2	menu.dshd.0071.01.003
prfl.0071.03	menu.dshd.0071.01.004	4	menu.0071.01
prfl.0071.03	menu.dshd.0071.01.004.01	1	menu.dshd.0071.01.004
prfl.0071.03	menu.dshd.0071.01.004.02	2	menu.dshd.0071.01.004
prfl.0071.03	menu.dshd.0071.01.005	5	menu.0071.01
prfl.0071.03	menu.dshd.0071.01.005.01	1	menu.dshd.0071.01.005
prfl.0071.03	menu.dshd.0071.01.005.02	2	menu.dshd.0071.01.005
prfl.0071.03	menu.dshd.0071.01.006	6	menu.0071.01
prfl.0071.03	menu.dshd.0071.01.006.01	1	menu.dshd.0071.01.006
prfl.0071.03	menu.dshd.0071.01.006.02	2	menu.dshd.0071.01.006
prfl.0071.03	menu.0071.01	1	0
prfl.0071.03	menu.dshd.0071.01.007	1	menu.0071.02
prfl.0071.03	menu.dshd.0071.01.007.01	1	menu.dshd.0071.01.007
prfl.0071.03	menu.dshd.0071.01.007.02	2	menu.dshd.0071.01.007
prfl.0071.03	menu.dshd.0071.01.008	2	menu.0071.02
prfl.0071.03	menu.dshd.0071.01.008.01	1	menu.dshd.0071.01.008
prfl.0071.03	menu.dshd.0071.01.008.02	2	menu.dshd.0071.01.008
prfl.0071.03	menu.dshd.0071.01.009	3	menu.0071.02
prfl.0071.03	menu.dshd.0071.01.009.01	1	menu.dshd.0071.01.009
prfl.0071.03	menu.dshd.0071.01.009.02	2	menu.dshd.0071.01.009
prfl.0071.03	menu.0071.02	2	0
prfl.0071.03	menu.dshd.0071.01.014	1	menu.0071.04
prfl.0071.03	menu.dshd.0071.01.014.01	1	menu.dshd.0071.01.014
prfl.0071.03	menu.dshd.0071.01.014.02	2	menu.dshd.0071.01.014
prfl.0071.03	menu.0071.04	4	0
prfl.0071.03	menu.dshd.0071.01.010	1	menu.0071.03
prfl.0071.03	menu.dshd.0071.01.010.01	1	menu.dshd.0071.01.010
prfl.0071.03	menu.dshd.0071.01.010.02	2	menu.dshd.0071.01.010
prfl.0071.03	menu.dshd.0071.01.011	2	menu.0071.03
prfl.0071.03	menu.dshd.0071.01.011.01	1	menu.dshd.0071.01.011
prfl.0071.03	menu.dshd.0071.01.011.02	2	menu.dshd.0071.01.011
prfl.0071.03	menu.dshd.0071.01.013	3	menu.0071.03
prfl.0071.03	menu.dshd.0071.01.013.01	1	menu.dshd.0071.01.013
prfl.0071.03	menu.dshd.0071.01.013.02	2	menu.dshd.0071.01.013
prfl.0071.03	menu.dshd.0071.01.012	4	menu.0071.03
prfl.0071.03	menu.dshd.0071.01.012.01	1	menu.dshd.0071.01.012
prfl.0071.03	menu.dshd.0071.01.012.02	2	menu.dshd.0071.01.012
prfl.0071.03	menu.dshd.0071.04.001	5	menu.0071.03
prfl.0071.03	menu.dshd.0071.04.001.01	1	menu.dshd.0071.04.001
prfl.0071.03	menu.dshd.0071.04.001.02	2	menu.dshd.0071.04.001
prfl.0071.03	menu.dshd.0071.04.002	6	menu.0071.03
prfl.0071.03	menu.dshd.0071.04.002.01	1	menu.dshd.0071.04.002
prfl.0071.03	menu.dshd.0071.04.002.02	2	menu.dshd.0071.04.002
prfl.0071.03	menu.0071.03	3	0
