id_data	data_legend	position_ordonnee	display_type	line_design	color	filled_color
seri.gtms.0071.01.00028.04	NB DL CMODE ATTEMPT	right	bar	none	#333333	#006600@0.5
seri.gtms.0071.01.00029.01	INTERFREQ MEAS RATE WITH CMODE	left	line	square	#FF0000	#ffffff@1
seri.gtms.0071.01.00029.02	NB INTERFREQ MEAS CM START	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0071.01.00030.01	INTERRAT MEAS RATE WITH CMODE	left	line	square	#FF0000	#ffffff@1
seri.gtms.0071.01.00030.02	NB INTERRAT MEAS CM START	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0071.01.00031.01	TRAFFIC ERL SPEECH	left	line	square	#FF0000	#ffffff@1
seri.gtms.0071.01.00031.02	TRAFFIC ERL Real Time CS Data	left	line	circle	#33FF00	#ffffff@1
seri.gtms.0071.01.00032.01	TRAFFIC DL Real Time PS Data	left	line	square	#FF0000	#ffffff@1
seri.gtms.0071.01.00032.02	TRAFFIC UL Real Time PS Data	left	line	circle	#33FF00	#ffffff@1
seri.gtms.0071.01.00032.03	TRAFFIC DL R99 Non Real Time PS Data	left	line	square	#0099FF	#ffffff@1
seri.gtms.0071.01.00032.04	TRAFFIC UL R99 Non Real Time PS Data	left	line	circle	#006600	#ffffff@1
seri.gtms.0071.01.00033.01	TRAFFIC DL HSDPA Non Real Time PS Data	left	line	square	#FF9900	#ffffff@1
seri.gtms.0071.01.00033.02	TRAFFIC UL EUL (HSUPA) Non Real Time PS Data	left	line	circle	#9900FF	#ffffff@1
seri.gtms.0071.01.00034.01	DL TOT Non Real Time PS Data THROUGHPUT	left	line	square	#FF0000	#ffffff@1
seri.gtms.0071.01.00034.02	UL TOT Non Real Time PS Data THROUGHPUT	left	line	circle	#33FF00	#ffffff@1
seri.gtms.0071.01.00034.03	DL USER Non Real Time PS Data THROUGHPUT	left	line	square	#0099FF	#ffffff@1
seri.gtms.0071.01.00034.04	UL USER Non Real Time PS Data THROUGHPUT	left	line	circle	#006600	#ffffff@1
seri.gtms.0071.01.00035.01	DL HSDPA TOT Non Real Time PS Data THROUGHPUT	left	line	square	#FF0000	#ffffff@1
seri.gtms.0071.01.00035.02	UL HSUPA TOT Non Real Time PS Data THROUGHPUT	left	line	circle	#33FF00	#ffffff@1
seri.gtms.0071.01.00035.03	DL HSDPA USER Non Real Time PS Data THROUGHPUT	left	line	square	#0099FF	#ffffff@1
seri.gtms.0071.01.00035.04	UL HSUPA USER Non Real Time PS Data THROUGHPUT	left	line	circle	#006600	#ffffff@1
seri.gtms.0071.04.00001.01	INTERFREQ HO SR CS SPEECH	left	line	square	#FF0000	#ffffff@1
seri.gtms.0071.04.00001.02	NB ATT NON BLIND INTERFREQ HO CS SPEECH	right	bar	none	#333333	#0099FF@0.5
