axe_gt_id	axe_index	axe_index_label	axe_label	axe_type	family	axe_order	id_group_table	external_reference	axe_type_label
axe1		axe1	NA	NA	cellb	1	1		
axe1		axe1	NA	NA	iubl	1	2		
axe1		axe1	NA	NA	iurl	1	3		
axe1		axe1	NA	NA	adj	1	4		
axe1		axe1	NA	NA	lac	1	5		
axe1		axe1	NA	NA	rac	1	6		
axe1		axe1	NA	NA	nodeb	1	7		
axe1		axe1	NA	NA	rnc	1	8		
