id_flat_file	flat_file_name	flat_file_naming_template	on_off	alarm_missing_file_temporization	period_type	exclusion	prefix_counter	reference	ordre	data_collection_frequency	data_chunks	granularity
40	Cell Based - IMA Link Measurement 67109403 - IMALNK	pmresult_67109403_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
41	Cell Based - Measurement related to CS Iu interface signalling 67109405 - CS_SIG_IU	pmresult_67109405_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
42	Cell Based - Measurement related to PS Iu interface signalling 67109406 - PS_SIG_IU	pmresult_67109406_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
43	Cell Based - Measurement related to CS traffic 67109407 - CS_TRF_IU	pmresult_67109407_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
44	Cell Based - QAAL2 Measurement 67109419 - QAAL2	pmresult_67109419_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
45	Cell Based - RRC connection setup measurement per RNC 67109420 - RRC_CS_RNC	pmresult_67109420_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
46	Cell Based - Measurement of CS RAB assignment modification per RNC 67109424 - CS_RAB_ASS_MOD_RNC	pmresult_67109424_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
47	Cell Based - Measurement of PS RAB assignment modification per RNC 67109428 - PS_RAB_ASS_MOD_RNC	pmresult_67109428_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
48	Cell Based - Measurement of relocation per SRNC 67109432 - RELOC_SRNC	pmresult_67109432_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
49	Cell Based - Measurement of relocation per DRNC 67109433 - RELOC_DRNC	pmresult_67109433_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
50	Cell Based - Soft Handover Measurement per RNC 67109446 - SHO_RNC	pmresult_67109446_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
51	Cell Based - Hard Handover Measurement per RNC 67109447 - HHO_RNC	pmresult_67109447_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
52	Cell Based - RLC measurement per RNC 67109448 - RLC_RNC	pmresult_67109448_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
53	Cell Based - SAAL Link Measurement 67109451 - SAAL_LNK	pmresult_67109451_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
54	Cell Based - SCCP Measurement 67109452 - SCCP	pmresult_67109452_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
55	Cell Based - Traffic Measurement per RNC 67109460 - RNC_TRAFF	pmresult_67109460_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
56	Cell Based - Measurement related to Algorithm per NodeB 67109473 - ALG_NODEB	pmresult_67109473_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
57	Cell Based - Traffic Measurement of CN Operator per RNC 67109519 - TRAFF_LOAD_PLMN_RNC	pmresult_67109519_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
58	Cell Based - Measurement Related to SCCP for Iu Interface 67109535 - SIG_SCCP_IU	pmresult_67109535_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
59	Cell Based - Measurement related to RLC per cell 67109393 - RLC	pmresult_67109393_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
60	Cell Based - MTP3 Destination Signaling Point Measurement 67109415 - MTP3_DSP	pmresult_67109415_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
61	Cell Based - MTP3 Link Measurement 67109416 - MTP3_LNK	pmresult_67109416_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
62	Cell Based - MTP3 Link Set Measurement 67109417 - MTP3_LNKSET	pmresult_(67109417|67109552)_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
63	Cell Based - CS RABs Unsuccessfully Established on Request 67109423 - CS_RAB_UER_RNC	pmresult_67109423_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
64	Cell Based - PS RABs Unsuccessfully Established on Request 67109427 - PS_RAB_UER_RNC	pmresult_67109427_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
65	Cell Based - CPU Usage 67109453 - CPU	pmresult_67109453_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
66	Cell Based - Measurement between a cell and a UMTS cell 67109395 - CELL_NCELL	pmresult_67109395_*[0-9]{12}.csv$	1	6	hour		N/A		1	1	24	hour
