id_flat_file	flat_file_name	flat_file_naming_template	on_off	alarm_missing_file_temporization	period_type	exclusion	prefix_counter	reference	ordre	data_collection_frequency	data_chunks	granularity	custom_field_1	custom_field_2	custom_field_3
136	BSS - 1275071440 Measurement of GSM Cell Performance(GCELL)/Outgoing Inter-RAT Inter-Cell Handover Measurement per Cell (TDD) - MGCP_OIRICHR	pmresult_1275071440_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		MGCP_OIRICHR		1	1	24	hour			
138	BSS - 1275071438 Measurement of GSM Cell Performance(GCELL)/SDCCH Call Drop Measurement per Cell - MGCP_SDCDM	pmresult_1275071438_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		MGCP_SDCDM		1	1	24	hour			
139	BSSTRX - 1275071631 MR Measurement / CV_BEP in EMR Measurement per TRX - MM_CBEMT	pmresult_1275071631_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		MM_CBEMT		1	1	24	hour			
140	BSS - 1275071634 MR Measurement / Frame Rate in EXT Measurement per Cell - MM_FREMC	pmresult_1275071634_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		MM_FREMC		1	1	24	hour			
141	BSS - 1275071633 MR Measurement / Mean measurement in EMR Measurement per CELL - MM_MMEMC	pmresult_1275071633_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		MM_MMEMC		1	1	24	hour			
142	BSSTRX - 1275071627 MR Measurement / Radio Link Failure Measurement per TRX - MM_RLFMT	pmresult_1275071627_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		MM_RLFMT		1	1	24	hour			
143	BSSTRX - 1275071636 MR Measurement / Receive Quality Measurement Distribution per TRX - MM_RQMDT	pmresult_1275071636_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		MM_RQMDT		1	1	24	hour			
145	BSSTRX - 1275071625 Number of MRs based on TA per TRX - NMBTA_TRX	pmresult_1275071625_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		NMBTA_TRX		1	1	24	hour			
147	BSSTRX - 1275071632 NbrRcvBlocks in EMR Measurement per TRX - NRBEMRM_TRX	pmresult_1275071632_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		NRBEMRM_TRX		1	1	24	hour			
232	BSS - Overlaid/Underlaid Subcell Measurement Function / Overlaid/Underlaid Subcell Measurement Function - overundermeas1_overunder	*overundermeas1_overunder*.csv	0	6	hour				1	1	24	hour			
156	BSSGPRS - 587202600 Cell Performance Measurement / Packet Access Performance Measurement on CCCH - papm_ccch	pmresult_587202600_[0-9]{2}_*[0-9]{12}.csv	0	6	hour				1	1	24	hour			
157	BSSGPRS - Cell Performance Measurement / Packet Access Performance Measurement on PACCH - papm_pach	*papm_pach.csv	0	6	hour				1	1	24	hour			
160	BSSGPRS - Cell Performance Measurement / Packet Access Performance Measurement on PCCCH - papm_pcch	*papm_pcch.csv	0	6	hour				1	1	24	hour			
161	BSSGPRS - PCU Cell 00	*PCU Cell 00.csv	0	6	hour				1	1	24	hour			
162	BSSGPRS - PCU Downlink LLC_PDUs	*PCU Downlink LLC_PDUs.csv	0	6	hour				1	1	24	hour			
166	BSSGPRS - PCU Uplink LLC_PDUs	*PCU Uplink LLC_PDUs.csv	0	6	hour				1	1	24	hour			
198	BSS - 1275070817 PCU Measurement per BSC - PCU_BSC	pmresult_1275070817_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		PCU_BSC		1	1	24	hour			
219	BSSGPRS - 1275071017 PCU Measurement/PCU Measurement per PCU - PCU_PCUM_PCU	pmresult_1275071017_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		PCU_PCUM_PCU		1	1	24	hour			
167	BSSGPRS - PDCH Resource	*PDCH Resource.csv	0	6	hour				1	1	24	hour			
170	BSSGPRS - 587202960 Cell Performance Measurement / PDCH Extremum Value Measurement - pdch_evm	pmresult_587202960_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		pdchevm		1	1	24	hour			
