sdcetd_id	sdcetd_table
seri.gtms.0095.02.00004.kpis.0095.02.18138	sys_pauto_config
seri.gtms.0095.01.00017.01	graph_data
seri.gtms.0095.01.00017.02	graph_data
seri.gtms.0095.01.00017.03	graph_data
seri.gtms.0095.01.00018.01	graph_data
seri.gtms.0095.01.00018.02	graph_data
seri.gtms.0095.01.00018.03	graph_data
seri.gtms.0095.01.00019.01	graph_data
seri.gtms.0095.01.00019.02	graph_data
seri.gtms.0095.01.00019.03	graph_data
seri.gtms.0095.01.00019.04	graph_data
seri.gtms.0095.01.00006.04	graph_data
seri.gtms.0095.01.00006.05	graph_data
seri.gtms.0095.01.00006.06	graph_data
seri.gtms.0095.01.00006.08	graph_data
seri.gtms.0095.01.00006.09	graph_data
seri.gtms.0095.01.00015.02	graph_data
seri.gtms.0095.01.00015.03	graph_data
seri.gtms.0095.01.00016.02	graph_data
seri.gtms.0095.01.00016.03	graph_data
seri.gtms.0095.02.00001.01	graph_data
seri.gtms.0095.02.00001.02	graph_data
seri.gtms.0095.02.00001.03	graph_data
seri.gtms.0095.02.00001.04	graph_data
seri.gtms.0095.02.00009.03	graph_data
seri.gtms.0095.02.00009.04	graph_data
seri.gtms.0095.02.00009.05	graph_data
seri.gtms.0095.02.00009.06	graph_data
seri.gtms.0095.02.00009.07	graph_data
seri.gtms.0095.02.00009.08	graph_data
seri.gtms.0095.02.00010.03	graph_data
seri.gtms.0095.02.00010.04	graph_data
seri.gtms.0095.02.00010.06	graph_data
seri.gtms.0095.02.00010.07	graph_data
seri.gtms.0095.02.00003.kpis.0095.02.18138	graph_data
seri.gtms.0095.02.00004.kpis.0095.02.18138	graph_data
gtms.0095.01.00017	graph_information
gtms.0095.01.00018	graph_information
gtms.0095.01.00019	graph_information
menu.01.0002.01	menu_deroulant_intranet
menu.01.0002.02	menu_deroulant_intranet
menu.01.0002.03	menu_deroulant_intranet
menu.01.0002.04	menu_deroulant_intranet
menu.01.0002.05	menu_deroulant_intranet
menu.01.0002.06	menu_deroulant_intranet
menu.01.0002.07	menu_deroulant_intranet
menu.01.0002.08	menu_deroulant_intranet
menu.01.0002.09	menu_deroulant_intranet
menu.0095.05	menu_deroulant_intranet
menu.0095.07	menu_deroulant_intranet
menu.dshd.0095.01.008	menu_deroulant_intranet
menu.dshd.0095.01.008.01	menu_deroulant_intranet
menu.dshd.0095.01.008.02	menu_deroulant_intranet
dshd.0095.03.001	sys_definition_dashboard
dshd.0095.01.006	sys_definition_dashboard
