id	id_page	id_elem	class_object	ligne	id_product
dshd.0095.02.003.gtm.01	dshd.0095.02.003	gtms.0095.02.00005	graph	3	1
seri.gtms.0095.02.00005.01	gtms.0095.02.00005	kpis.0095.02.18018	kpi	1	1
seri.gtms.0095.02.00005.02	gtms.0095.02.00005	kpis.0095.02.18019	kpi	2	1
seri.gtms.0095.02.00005.03	gtms.0095.02.00005	kpis.0095.02.18014	kpi	3	1
seri.gtms.0095.02.00005.04	gtms.0095.02.00005	kpis.0095.02.18015	kpi	4	1
dshd.0095.02.003.gtm.02	dshd.0095.02.003	gtms.0095.02.00006	graph	4	1
seri.gtms.0095.02.00006.01	gtms.0095.02.00006	kpis.0095.02.18030	kpi	1	1
seri.gtms.0095.02.00006.02	gtms.0095.02.00006	kpis.0095.02.18031	kpi	2	1
seri.gtms.0095.02.00006.kpis.0095.02.18102	gtms.0095.02.00006	kpis.0095.02.18102	kpi	3	1
dshd.0095.02.004.gtm.01	dshd.0095.02.004	gtms.0095.02.00007	graph	1	1
seri.gtms.0095.02.00007.01	gtms.0095.02.00007	kpis.0095.02.18032	kpi	1	1
seri.gtms.0095.02.00007.02	gtms.0095.02.00007	kpis.0095.02.18035	kpi	2	1
seri.gtms.0095.02.00007.03	gtms.0095.02.00007	kpis.0095.02.18034	kpi	3	1
seri.gtms.0095.02.00007.04	gtms.0095.02.00007	kpis.0095.02.18037	kpi	4	1
dshd.0095.02.004.gtm.02	dshd.0095.02.004	gtms.0095.02.00008	graph	2	1
seri.gtms.0095.02.00008.01	gtms.0095.02.00008	kpis.0095.02.18038	kpi	1	1
seri.gtms.0095.02.00008.02	gtms.0095.02.00008	kpis.0095.02.18041	kpi	2	1
seri.gtms.0095.02.00008.03	gtms.0095.02.00008	kpis.0095.02.18040	kpi	3	1
seri.gtms.0095.02.00008.04	gtms.0095.02.00008	kpis.0095.02.18043	kpi	4	1
dshd.0095.02.005.gtm.01	dshd.0095.02.005	gtms.0095.02.00009	graph	1	1
seri.gtms.0095.02.00009.01	gtms.0095.02.00009	kpis.0095.02.18054	kpi	1	1
seri.gtms.0095.02.00009.02	gtms.0095.02.00009	kpis.0095.02.18055	kpi	2	1
seri.gtms.0095.02.00009.09	gtms.0095.02.00009	kpis.0095.02.18071	kpi	3	1
seri.gtms.0095.02.00009.10	gtms.0095.02.00009	kpis.0095.02.18072	kpi	4	1
seri.gtms.0095.02.00009.11	gtms.0095.02.00009	kpis.0095.02.18074	kpi	5	1
dshd.0095.02.006.gtm.01	dshd.0095.02.006	gtms.0095.02.00010	graph	1	1
seri.gtms.0095.02.00010.01	gtms.0095.02.00010	kpis.0095.02.18050	kpi	1	1
seri.gtms.0095.02.00010.02	gtms.0095.02.00010	kpis.0095.02.18052	kpi	2	1
seri.gtms.0095.02.00010.05	gtms.0095.02.00010	kpis.0095.02.18110	kpi	3	1
dshd.0095.02.006.gtms.0095.02.pdch_availability	dshd.0095.02.006	gtms.0095.02.pdch_availability	graph	2	1
seri.gtms.0095.02.pdch_availability.kpis.0095.02.18100	gtms.0095.02.pdch_availability	kpis.0095.02.18100	kpi	1	1
seri.gtms.0095.02.pdch_availability.kpis.0095.02.18102	gtms.0095.02.pdch_availability	kpis.0095.02.18102	kpi	2	1
seri.gtms.0095.02.pdch_availability.kpis.0095.02.18101	gtms.0095.02.pdch_availability	kpis.0095.02.18101	kpi	3	1
dshd.0095.03.003.gtm.01	dshd.0095.03.003	gtms.0095.03.00003	graph	1	1
seri.gtms.0095.03.00003.01	gtms.0095.03.00003	kpis.0095.03.40009	kpi	1	1
seri.gtms.0095.03.00003.02	gtms.0095.03.00003	kpis.0095.03.40010	kpi	2	1
seri.gtms.0095.03.00003.03	gtms.0095.03.00003	kpis.0095.03.40011	kpi	3	1
seri.gtms.0095.03.00003.04	gtms.0095.03.00003	kpis.0095.03.40012	kpi	4	1
seri.gtms.0095.03.00003.05	gtms.0095.03.00003	kpis.0095.03.40013	kpi	5	1
seri.gtms.0095.03.00003.06	gtms.0095.03.00003	kpis.0095.03.40014	kpi	6	1
seri.gtms.0095.03.00003.07	gtms.0095.03.00003	kpis.0095.03.40015	kpi	7	1
seri.gtms.0095.03.00003.08	gtms.0095.03.00003	kpis.0095.03.40016	kpi	8	1
seri.gtms.0095.03.00003.09	gtms.0095.03.00003	kpis.0095.03.40049	kpi	9	1
dshd.0095.03.003.gtm.02	dshd.0095.03.003	gtms.0095.03.00005	graph	2	1
seri.gtms.0095.03.00005.01	gtms.0095.03.00005	kpis.0095.03.40033	kpi	1	1
seri.gtms.0095.03.00005.02	gtms.0095.03.00005	kpis.0095.03.40034	kpi	2	1
seri.gtms.0095.03.00005.03	gtms.0095.03.00005	kpis.0095.03.40035	kpi	3	1
seri.gtms.0095.03.00005.04	gtms.0095.03.00005	kpis.0095.03.40036	kpi	4	1
seri.gtms.0095.03.00005.05	gtms.0095.03.00005	kpis.0095.03.40037	kpi	5	1
seri.gtms.0095.03.00005.06	gtms.0095.03.00005	kpis.0095.03.40038	kpi	6	1
seri.gtms.0095.03.00005.07	gtms.0095.03.00005	kpis.0095.03.40039	kpi	7	1
seri.gtms.0095.03.00005.08	gtms.0095.03.00005	kpis.0095.03.40040	kpi	8	1
seri.gtms.0095.03.00005.09	gtms.0095.03.00005	kpis.0095.03.40051	kpi	9	1
dshd.0095.03.003.gtm.03	dshd.0095.03.003	gtms.0095.03.00008	graph	3	1
seri.gtms.0095.03.00008.01	gtms.0095.03.00008	kpis.0095.03.40053	kpi	1	1
seri.gtms.0095.03.00008.02	gtms.0095.03.00008	kpis.0095.03.40054	kpi	2	1
seri.gtms.0095.03.00008.03	gtms.0095.03.00008	kpis.0095.03.40055	kpi	3	1
seri.gtms.0095.03.00008.04	gtms.0095.03.00008	kpis.0095.03.40056	kpi	4	1
seri.gtms.0095.03.00008.05	gtms.0095.03.00008	kpis.0095.03.40057	kpi	5	1
seri.gtms.0095.03.00008.06	gtms.0095.03.00008	kpis.0095.03.40058	kpi	6	1
seri.gtms.0095.03.00008.07	gtms.0095.03.00008	kpis.0095.03.40059	kpi	7	1
seri.gtms.0095.03.00008.08	gtms.0095.03.00008	kpis.0095.03.40060	kpi	8	1
seri.gtms.0095.03.00008.09	gtms.0095.03.00008	kpis.0095.03.40063	kpi	9	1
dshd.0095.03.004.gtm.01	dshd.0095.03.004	gtms.0095.03.00002	graph	1	1
seri.gtms.0095.03.00002.01	gtms.0095.03.00002	kpis.0095.03.40001	kpi	1	1
seri.gtms.0095.03.00002.02	gtms.0095.03.00002	kpis.0095.03.40002	kpi	2	1
seri.gtms.0095.03.00002.03	gtms.0095.03.00002	kpis.0095.03.40003	kpi	3	1
seri.gtms.0095.03.00002.04	gtms.0095.03.00002	kpis.0095.03.40004	kpi	4	1
seri.gtms.0095.03.00002.05	gtms.0095.03.00002	kpis.0095.03.40005	kpi	5	1
seri.gtms.0095.03.00002.06	gtms.0095.03.00002	kpis.0095.03.40006	kpi	6	1
seri.gtms.0095.03.00002.07	gtms.0095.03.00002	kpis.0095.03.40007	kpi	7	1
seri.gtms.0095.03.00002.08	gtms.0095.03.00002	kpis.0095.03.40008	kpi	8	1
