id	id_page	id_elem	class_object	ligne	id_product
seri.gtms.0075.01.00017.02	gtms.0075.01.00017	kpis.0075.01.16003	kpi	2	1
seri.gtms.0075.01.00017.03	gtms.0075.01.00017	kpis.0075.01.16013	kpi	3	1
dshd.0075.01.005.gtm.04	dshd.0075.01.005	gtms.0075.01.00018	graph	4	1
seri.gtms.0075.01.00018.01	gtms.0075.01.00018	kpis.0075.01.16011	kpi	1	1
seri.gtms.0075.01.00018.02	gtms.0075.01.00018	kpis.0075.01.16009	kpi	2	1
seri.gtms.0075.01.00018.03	gtms.0075.01.00018	kpis.0075.01.16012	kpi	3	1
dshd.0075.01.006.gtm.01	dshd.0075.01.006	gtms.0075.01.00019	graph	1	1
seri.gtms.0075.01.00019.01	gtms.0075.01.00019	kpis.0075.01.07031	kpi	1	1
seri.gtms.0075.01.00019.02	gtms.0075.01.00019	kpis.0075.01.07003	kpi	2	1
seri.gtms.0075.01.00019.03	gtms.0075.01.00019	kpis.0075.01.07036	kpi	3	1
seri.gtms.0075.01.00019.04	gtms.0075.01.00019	kpis.0075.01.07032	kpi	4	1
dshd.0075.01.006.gtm.02	dshd.0075.01.006	gtms.0075.01.00021	graph	2	1
seri.gtms.0075.01.00021.01	gtms.0075.01.00021	kpis.0075.01.07039	kpi	1	1
seri.gtms.0075.01.00021.02	gtms.0075.01.00021	kpis.0075.01.07046	kpi	2	1
dshd.0075.01.006.gtm.03	dshd.0075.01.006	gtms.0075.01.00017	graph	3	1
dshd.0075.03.001.gtm.04	dshd.0075.03.001	gtms.0075.03.00001	graph	1	1
seri.gtms.0075.03.00001.01	gtms.0075.03.00001	kpis.0075.03.17001	kpi	1	1
seri.gtms.0075.03.00001.02	gtms.0075.03.00001	kpis.0075.03.17003	kpi	2	1
seri.gtms.0075.03.00001.03	gtms.0075.03.00001	kpis.0075.03.17005	kpi	3	1
seri.gtms.0075.03.00001.04	gtms.0075.03.00001	kpis.0075.03.17007	kpi	4	1
seri.gtms.0075.03.00001.05	gtms.0075.03.00001	kpis.0075.03.17009	kpi	5	1
seri.gtms.0075.03.00001.06	gtms.0075.03.00001	kpis.0075.03.17011	kpi	6	1
seri.gtms.0075.03.00001.07	gtms.0075.03.00001	kpis.0075.03.17013	kpi	7	1
seri.gtms.0075.03.00001.08	gtms.0075.03.00001	kpis.0075.03.17021	kpi	8	1
