id_menu	id_menu_parent	libelle_menu	niveau	position	largeur	hauteur	lien_menu	droit_affichage	droit_visible	is_profile_ref_admin	is_profile_ref_user	is_menu_defaut	deploiement	liste_action	id_page	menu_client_default
menu.dshd.0095.02.tbf_allocation.01	menu.dshd.0095.02.tbf_allocation	Over Time	3	1	150	20	/dashboard_display/index.php?id_dash=dshd.0095.02.tbf_allocation&mode=overtime	customisateur	1		1			0-5135-5136-5137-0-5132-5133-0-5134	dshd.0095.02.tbf_allocation	0
menu.dshd.0095.02.tbf_allocation.02	menu.dshd.0095.02.tbf_allocation	Over Network Elements	3	2	150	20	/dashboard_display/index.php?id_dash=dshd.0095.02.tbf_allocation&mode=overnetwork	customisateur	1		1			0-5135-5136-5137-0-5132-5133-0-5134	dshd.0095.02.tbf_allocation	0
menu.dshd.0095.02.throughput	menu.0095.bss_gprs	THROUGHPUT	2	3	150	20		customisateur	1		1			0-5135-5136-5137-0-5132-5133-0-5134	dshd.0095.02.throughput	0
menu.dshd.0095.02.throughput.01	menu.dshd.0095.02.throughput	Over Time	3	1	150	20	/dashboard_display/index.php?id_dash=dshd.0095.02.throughput&mode=overtime	customisateur	1		1			0-5135-5136-5137-0-5132-5133-0-5134	dshd.0095.02.throughput	0
menu.dshd.0095.02.throughput.02	menu.dshd.0095.02.throughput	Over Network Elements	3	2	150	20	/dashboard_display/index.php?id_dash=dshd.0095.02.throughput&mode=overnetwork	customisateur	1		1			0-5135-5136-5137-0-5132-5133-0-5134	dshd.0095.02.throughput	0
menu.dshd.0095.02.rlc_retransmissions	menu.0095.bss_gprs	RLC RETRANSMISSIONS	2	4	150	20		customisateur	1		1			0-5135-5136-5137-0-5132-5133-0-5134	dshd.0095.02.rlc_retransmissions	0
menu.dshd.0095.02.rlc_retransmissions.01	menu.dshd.0095.02.rlc_retransmissions	Over Time	3	1	150	20	/dashboard_display/index.php?id_dash=dshd.0095.02.rlc_retransmissions&mode=overtime	customisateur	1		1			0-5135-5136-5137-0-5132-5133-0-5134	dshd.0095.02.rlc_retransmissions	0
menu.dshd.0095.02.rlc_retransmissions.02	menu.dshd.0095.02.rlc_retransmissions	Over Network Elements	3	2	150	20	/dashboard_display/index.php?id_dash=dshd.0095.02.rlc_retransmissions&mode=overnetwork	customisateur	1		1			0-5135-5136-5137-0-5132-5133-0-5134	dshd.0095.02.rlc_retransmissions	0
menu.dshd.0095.02.tbf_drop_causes	menu.0095.bss_gprs	TBF DROP CAUSES	2	5	150	20		customisateur	1		1			0-5135-5136-5137-0-5132-5133-0-5134	dshd.0095.02.tbf_drop_causes	0
menu.dshd.0095.02.tbf_drop_causes.01	menu.dshd.0095.02.tbf_drop_causes	Over Time	3	1	150	20	/dashboard_display/index.php?id_dash=dshd.0095.02.tbf_drop_causes&mode=overtime	customisateur	1		1			0-5135-5136-5137-0-5132-5133-0-5134	dshd.0095.02.tbf_drop_causes	0
menu.dshd.0095.02.tbf_drop_causes.02	menu.dshd.0095.02.tbf_drop_causes	Over Network Elements	3	2	150	20	/dashboard_display/index.php?id_dash=dshd.0095.02.tbf_drop_causes&mode=overnetwork	customisateur	1		1			0-5135-5136-5137-0-5132-5133-0-5134	dshd.0095.02.tbf_drop_causes	0
menu.dshd.0095.02.data_utilization	menu.0095.bss_gprs	DATA UTILIZATION	2	6	150	20		customisateur	1		1			0-5135-5136-5137-0-5132-5133-0-5134	dshd.0095.02.data_utilization	0
menu.dshd.0095.02.data_utilization.01	menu.dshd.0095.02.data_utilization	Over Time	3	1	150	20	/dashboard_display/index.php?id_dash=dshd.0095.02.data_utilization&mode=overtime	customisateur	1		1			0-5135-5136-5137-0-5132-5133-0-5134	dshd.0095.02.data_utilization	0
menu.dshd.0095.02.data_utilization.02	menu.dshd.0095.02.data_utilization	Over Network Elements	3	2	150	20	/dashboard_display/index.php?id_dash=dshd.0095.02.data_utilization&mode=overnetwork	customisateur	1		1			0-5135-5136-5137-0-5132-5133-0-5134	dshd.0095.02.data_utilization	0
menu.0095.bss_trx	0	BSS TRX	1	4	250	20		customisateur	0		1					0
menu.dshd.0095.03.downlink_performance	menu.0095.bss_trx	DOWNLINK PERFORMANCE	2	1	150	20		customisateur	1		1			0-5135-5136-5137-0-5132-5133-0-5134	dshd.0095.03.downlink_performance	0
menu.dshd.0095.03.downlink_performance.01	menu.dshd.0095.03.downlink_performance	Over Time	3	1	150	20	/dashboard_display/index.php?id_dash=dshd.0095.03.downlink_performance&mode=overtime	customisateur	1		1			0-5135-5136-5137-0-5132-5133-0-5134	dshd.0095.03.downlink_performance	0
menu.dshd.0095.03.downlink_performance.02	menu.dshd.0095.03.downlink_performance	Over Network Elements	3	2	150	20	/dashboard_display/index.php?id_dash=dshd.0095.03.downlink_performance&mode=overnetwork	customisateur	1		1			0-5135-5136-5137-0-5132-5133-0-5134	dshd.0095.03.downlink_performance	0
menu.dshd.0095.03.uplink_performance	menu.0095.bss_trx	UPLINK PERFORMANCE	2	2	150	20		customisateur	1		1			0-5135-5136-5137-0-5132-5133-0-5134	dshd.0095.03.uplink_performance	0
menu.dshd.0095.03.uplink_performance.01	menu.dshd.0095.03.uplink_performance	Over Time	3	1	150	20	/dashboard_display/index.php?id_dash=dshd.0095.03.uplink_performance&mode=overtime	customisateur	1		1			0-5135-5136-5137-0-5132-5133-0-5134	dshd.0095.03.uplink_performance	0
menu.dshd.0095.03.uplink_performance.02	menu.dshd.0095.03.uplink_performance	Over Network Elements	3	2	150	20	/dashboard_display/index.php?id_dash=dshd.0095.03.uplink_performance&mode=overnetwork	customisateur	1		1			0-5135-5136-5137-0-5132-5133-0-5134	dshd.0095.03.uplink_performance	0
menu.dshd.0095.03.tranceiver_availability	menu.0095.bss_trx	TRANCEIVER AVAILABILITY	2	3	150	20		customisateur	1		1			0-5135-5136-5137-0-5132-5133-0-5134	dshd.0095.03.tranceiver_availability	0
menu.dshd.0095.03.tranceiver_availability.01	menu.dshd.0095.03.tranceiver_availability	Over Time	3	1	150	20	/dashboard_display/index.php?id_dash=dshd.0095.03.tranceiver_availability&mode=overtime	customisateur	1		1			0-5135-5136-5137-0-5132-5133-0-5134	dshd.0095.03.tranceiver_availability	0
menu.dshd.0095.03.tranceiver_availability.02	menu.dshd.0095.03.tranceiver_availability	Over Network Elements	3	2	150	20	/dashboard_display/index.php?id_dash=dshd.0095.03.tranceiver_availability&mode=overnetwork	customisateur	1		1			0-5135-5136-5137-0-5132-5133-0-5134	dshd.0095.03.tranceiver_availability	0
