id_profile	profile_name	profile_type	client_type	profile_to_menu
prfl.0095.01	Astellia Administrator	admin	protected	menu.01.0001-menu.01.0001.01-menu.01.0001.02-menu.01.0001.03-menu.01.0001.04-menu.01.0002-menu.01.0002.01-menu.01.0002.08-menu.01.0002.11-menu.01.0002.02-menu.01.0002.09-menu.01.0002.03-menu.01.0002.04-menu.01.0002.06-menu.01.0002.07-menu.01.0002.10-menu.01.0003-menu.01.0003.01-menu.01.0003.02-menu.01.0003.03-menu.01.0004-menu.01.0004.01-menu.01.0004.02-menu.01.0004.03-menu.01.0005-menu.01.0005.01-menu.01.0006-menu.01.0006.01-menu.01.0006.02-menu.01.0006.03-menu.01.0006.04-menu.01.0007-menu.01.0007.01-menu.01.0008-menu.01.0008.01-menu.01.0008.02-menu.01.0008.03-menu.01.0008.04-menu.01.0008.05-menu.01.0009-menu.01.0009.01-menu.01.0009.02-menu.01.0009.03-menu.01.0009.04-menu.01.0010-menu.01.0010.01-menu.01.0010.02-menu.01.0010.04-menu.01.0010.03
prfl.0095.02	AdminProfile	admin		menu.01.0001-menu.01.0001.01-menu.01.0001.02-menu.01.0001.03-menu.01.0002-menu.01.0002.01-menu.01.0002.08-menu.01.0002.03-menu.01.0002.04-menu.01.0002.06-menu.01.0002.07-menu.01.0003-menu.01.0003.01-menu.01.0003.02-menu.01.0003.03-menu.01.0004-menu.01.0004.01-menu.01.0004.02-menu.01.0004.03-menu.01.0005-menu.01.0005.01-menu.01.0006-menu.01.0006.01-menu.01.0006.02-menu.01.0006.03-menu.01.0006.04-menu.01.0007-menu.01.0007.01-menu.01.0008-menu.01.0008.01-menu.01.0008.02-menu.01.0008.03-menu.01.0008.04-menu.01.0008.05-menu.01.0009-menu.01.0009.01-menu.01.0009.02-menu.01.0009.03-menu.01.0009.04-menu.01.0010-menu.01.0010.01-menu.01.0010.02-menu.01.0010.04-menu.01.0010.03
prfl.0095.03	UserProfile	user		menu.01.0010-menu.01.0010.01-menu.01.0010.02-menu.01.0010.04-menu.01.0010.03-menu.02.0001-menu.02.0002-menu.02.0002.01-menu.02.0002.02-menu.02.0002.03-menu.02.0003-menu.02.0003.05-menu.02.0003.01-menu.02.0003.02-menu.02.0003.03-menu.02.0003.04-menu.0095.bss_gsm-menu.dshd.0095.01.call_setup_and_drop-menu.dshd.0095.01.call_setup_and_drop.01-menu.dshd.0095.01.call_setup_and_drop.02-menu.dshd.0095.01.sdcch-menu.dshd.0095.01.sdcch.01-menu.dshd.0095.01.sdcch.02-menu.dshd.0095.01.tch-menu.dshd.0095.01.tch.01-menu.dshd.0095.01.tch.02-menu.dshd.0095.01.handovers-menu.dshd.0095.01.handovers.01-menu.dshd.0095.01.handovers.02-menu.dshd.0095.01.resource_availability-menu.dshd.0095.01.resource_availability.01-menu.dshd.0095.01.resource_availability.02-menu.dshd.0095.01.traffic_at_2_gos-menu.dshd.0095.01.traffic_at_2_gos.01-menu.dshd.0095.01.traffic_at_2_gos.02-menu.0095.bss_gprs-menu.dshd.0095.02.traffic-menu.dshd.0095.02.traffic.01-menu.dshd.0095.02.traffic.02-menu.dshd.0095.02.tbf_allocation-menu.dshd.0095.02.tbf_allocation.01-menu.dshd.0095.02.tbf_allocation.02-menu.dshd.0095.02.throughput-menu.dshd.0095.02.throughput.01-menu.dshd.0095.02.throughput.02-menu.dshd.0095.02.rlc_retransmissions-menu.dshd.0095.02.rlc_retransmissions.01-menu.dshd.0095.02.rlc_retransmissions.02-menu.dshd.0095.02.tbf_drop_causes-menu.dshd.0095.02.tbf_drop_causes.01-menu.dshd.0095.02.tbf_drop_causes.02-menu.dshd.0095.02.data_utilization-menu.dshd.0095.02.data_utilization.01-menu.dshd.0095.02.data_utilization.02-menu.0095.bss_trx-menu.dshd.0095.03.downlink_performance-menu.dshd.0095.03.downlink_performance.01-menu.dshd.0095.03.downlink_performance.02-menu.dshd.0095.03.uplink_performance-menu.dshd.0095.03.uplink_performance.01-menu.dshd.0095.03.uplink_performance.02-menu.dshd.0095.03.tranceiver_availability-menu.dshd.0095.03.tranceiver_availability.01-menu.dshd.0095.03.tranceiver_availability.02
