RNCs;Cells Label;Cells
BHERNC4;UBH06B;BHERNC4_UBH06B
BHERNC4;UBH06A;BHERNC4_UBH06A
BHERNC4;BH05N2;BHERNC4_BH05N2
BHERNC4;BH05N1;BHERNC4_BH05N1
BHERNC4;BH05K2;BHERNC4_BH05K2
BHERNC4;BH05K1;BHERNC4_BH05K1
BHERNC4;BH05H2;BHERNC4_BH05H2
BHERNC4;BH05H1;BHERNC4_BH05H1
BHERNC4;UBH05P;BHERNC4_UBH05P
BHERNC4;UBH05M;BHERNC4_UBH05M
BHERNC4;UBH05L;BHERNC4_UBH05L
BHERNC4;UBH05J;BHERNC4_UBH05J
BHERNC4;UBH05I;BHERNC4_UBH05I
BHERNC4;UBH05G;BHERNC4_UBH05G
BHERNC4;UBH05C;BHERNC4_UBH05C
BHERNC4;UBH05B;BHERNC4_UBH05B
BHERNC4;UBH05A;BHERNC4_UBH05A
BHERNC4;BH04L2;BHERNC4_BH04L2
BHERNC4;BH04L1;BHERNC4_BH04L1
BHERNC4;UOH01H;BHERNC4_UOH01H
BHERNC4;UOH01G;BHERNC4_UOH01G
BHERNC4;UOH01C;BHERNC4_UOH01C
BHERNC4;UOH01B;BHERNC4_UOH01B
BHERNC4;UOH01A;BHERNC4_UOH01A
BHERNC4;UOB01I;BHERNC4_UOB01I
BHERNC4;UOB01H;BHERNC4_UOB01H
BHERNC4;UOB01G;BHERNC4_UOB01G
BHERNC4;UOB01C;BHERNC4_UOB01C
BHERNC4;UOB01B;BHERNC4_UOB01B
BHERNC4;UOB01A;BHERNC4_UOB01A
BHERNC4;UAU02I;BHERNC4_UAU02I
BHERNC4;UAU02H;BHERNC4_UAU02H
BHERNC4;UAU02G;BHERNC4_UAU02G
BHERNC4;UAU02C;BHERNC4_UAU02C
BHERNC4;UAU02B;BHERNC4_UAU02B
BHERNC4;UAU02A;BHERNC4_UAU02A
BHERNC4;UKT01L;BHERNC4_UKT01L
BHERNC4;UKT01K;BHERNC4_UKT01K
BHERNC4;UKT01J;BHERNC4_UKT01J
