axe_gt_id	axe_index	axe_index_label	axe_label	axe_type	family	axe_order	id_group_table	external_reference	axe_type_label
axe1		axe1	NA	NA	cellba	1	1		
axe1		axe1	NA	NA	cellbb	1	2		
axe1		axe1	NA	NA	cellbc	1	3		
axe1		axe1	NA	NA	cellbd	1	4		
axe1		axe1	NA	NA	enodeb	1	5		
axe1		axe1	NA	NA	adj	1	6		
